# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 10:11:32 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_orbper < 100
# CONSTRAINT:  and pl_radj not null
# CONSTRAINT:  and pl_radjlim = 0
# CONSTRAINT:  and pl_bmassj > 0.25
# CONSTRAINT:  and pl_orbeccenlim = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_refname:     Stellar Parameter Reference
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN sy_refname:     System Parameter Reference
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date
# COLUMN releasedate:    Release Date
#
pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-2000 c,TOI-2000,1,1,2,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1632S/abstract target=ref>Sha et al. 2023</a>,9.12705500,0.00000730,-0.00000720,0,0.087800,0.001600,-0.001400,0,8.140,0.310,-0.300,0,0.727,0.028,-0.027,0,81.70000,4.70000,-4.60000,0,0.25700,0.01500,-0.01400,0,Mass,0.063000,0.023000,-0.022000,0,149.00,12.00,-10.00,0,1038,84,-111,0,0,<a refstr=SHA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1632S/abstract target=ref>Sha et al. 2023</a>,,5611.00,85.00,-82.00,0,1.13,0.04,-0.04,0,1.08,0.06,-0.05,0,0.439,0.041,-0.043,0,[Fe/H],4.36,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h45m35.30s,146.3970631,-66d41m11.87s,-66.6866307,175.7130000,0.7600000,-0.7540000,10.9840000,0.0120000,-0.0120000,9.3030010,0.0210000,-0.0210000,10.8542000,0.0003160,-0.0003160,2023-06-27,2023-06,2023-06-27
K2-329 b,K2-329,1,1,1,Transit,2020,K2,Published Confirmed,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,12.45512250,0.00000310,-0.00000310,0,0.101600,0.001800,-0.001900,0,8.676,0.291,-0.269,0,0.774,0.026,-0.024,0,82.63580,6.35660,-6.99226,0,0.26000,0.02000,-0.02200,0,Mass,0.069700,0.041000,-0.040000,0,45.70,2.20,-1.60,0,650,53,-70,0,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,,5282.00,40.00,-39.00,0,0.82,0.03,-0.02,0,0.90,0.05,-0.05,0,0.098,0.065,-0.070,0,[Fe/H],4.57,0.01,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h24m32.49s,351.1353785,-05d09m50.92s,-5.1641451,233.2370000,2.2930000,-2.2490000,12.6970000,0.0800000,-0.0800000,10.6680000,0.0230000,-0.0230000,12.4462000,0.0003490,-0.0003490,2020-11-13,2021-02,2020-11-19
TOI-3629 b,TOI-3629,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,3.93655100,0.00000500,-0.00000600,0,0.043000,0.002000,-0.002000,0,8.295,0.224,-0.224,0,0.740,0.020,-0.020,0,82.63539,6.35657,-6.35657,0,0.26000,0.02000,-0.02000,0,Mass,0.050000,0.050000,-0.040000,0,39.00,4.00,-4.00,0,690,20,-20,0,0,<a refstr=CA_NTILDE_AS_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220109963C/abstract target=ref>Ca&ntilde;as et al. 2022</a>,M1,3870.00,90.00,-90.00,0,0.60,0.02,-0.01,0,0.63,0.02,-0.02,0,0.400,0.100,-0.100,0,[Fe/H],4.67,0.05,-0.05,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h59m10.41s,359.7933851,+39d18m51.32s,39.3142556,130.0910000,0.5480000,-0.5450000,14.6390000,0.0610000,-0.0610000,10.5530000,0.0200000,-0.0200000,13.8375000,0.0004720,-0.0004720,2022-06-27,2022-01,2022-06-27
HATS-43 b,HATS-43,1,1,1,Transit,2018,HATSouth,Published Confirmed,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,4.38884970,0.00000590,-0.00000590,0,0.049440,0.000460,-0.000460,0,13.227,0.560,-0.560,0,1.180,0.050,-0.050,0,82.95363,17.16282,-17.16282,0,0.26100,0.05400,-0.05400,0,Mass,0.173000,0.089000,-0.089000,0,,,,,1003,27,-27,0,0,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>,,5099.00,61.00,-61.00,0,0.81,0.03,-0.03,0,0.84,0.02,-0.02,0,0.050,0.041,-0.041,0,[Fe/H],4.54,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h22m09.18s,80.5382418,-30d58m14.94s,-30.9708179,362.2730000,2.2590000,-2.2320000,13.5620000,0.0570000,-0.0570000,11.5560000,0.0230000,-0.0230000,13.4014000,0.0006430,-0.0006430,2018-05-22,2018-03,2018-05-24
HAT-P-38 b,HAT-P-38,1,1,1,Transit,2012,HATNet,Published Confirmed,0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64...97S/abstract target=ref> Sato et al. 2012 </a>,4.64038200,0.00003200,-0.00003200,0,0.052300,0.000900,-0.000900,0,9.247,1.031,-0.706,0,0.825,0.092,-0.063,0,84.85700,6.35600,-6.35600,0,0.26700,0.02000,-0.02000,0,Mass,0.067000,0.047000,-0.047000,0,,,,,1082,55,-55,0,0,<a refstr=SATO_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012PASJ...64...97S/abstract target=ref> Sato et al. 2012 </a>,,5330.00,100.00,,0,0.92,0.10,,0,0.89,0.04,,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h21m32.04s,35.3834942,+32d14m45.76s,32.2460441,255.2060000,2.4730000,-2.4270000,12.5250000,0.1030000,-0.1030000,10.5010000,0.0170000,-0.0170000,12.3021000,0.0002570,-0.0002570,2014-05-14,2012-10,2014-05-14
TOI-3757 b,TOI-3757,1,1,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,3.43875300,0.00000400,-0.00000400,0,0.038450,0.000430,-0.000430,0,12.000,0.400,-0.500,0,1.071,0.036,-0.045,0,85.30000,8.80000,-8.70000,0,0.26838,0.02769,-0.02737,0,Mass,0.140000,0.060000,-0.060000,0,55.40,3.80,-3.80,0,759,13,-13,0,0,<a refstr=KANODIA_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164...81K/abstract target=ref>Kanodia et al. 2022</a>,M0 V,3913.00,56.00,-56.00,0,0.62,0.01,-0.01,0,0.64,0.02,-0.02,0,0.000,0.200,-0.200,0,[Fe/H],4.68,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h04m00.87s,91.0036423,+55d01m11.93s,55.0199793,181.1390000,1.1940000,-1.1790000,14.8120000,0.0640000,-0.0640000,11.1520000,0.0200000,-0.0200000,14.1321000,0.0004420,-0.0004420,2022-08-22,2022-09,2022-08-22
CoRoT-25 b,CoRoT-25,1,1,1,Transit,2013,CoRoT,Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,4.86069000,0.00006000,-0.00006000,0,0.057800,0.002000,-0.000900,0,12.110,3.400,-1.120,0,1.080,0.300,-0.100,0,85.81000,12.71000,-12.71000,0,0.27000,0.04000,-0.04000,0,Mass,0.000000,,,0,,,,,1330,80,-40,0,0,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,F9,6040.00,90.00,-90.00,0,1.19,0.14,-0.03,0,1.09,0.11,-0.05,0,-0.010,0.130,-0.130,0,[Fe/H],4.31,0.05,-0.08,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.4800000,44.2800000,-41.0500000,14.7900000,0.1720000,-0.1720000,12.8460000,0.0310000,-0.0310000,14.7110000,0.0003390,-0.0003390,2014-05-14,2013-07,2014-05-14
WASP-131 b,WASP-131,1,1,1,Transit,2016,SuperWASP-South,Published Confirmed,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,5.32202300,0.00000500,-0.00000500,0,0.060700,0.000900,-0.000900,0,13.675,0.560,-0.560,0,1.220,0.050,-0.050,0,85.81410,6.35660,-6.35660,0,0.27000,0.02000,-0.02000,0,Mass,0.000000,,,0,,,,,1460,30,-30,0,0,<a refstr=HELLIER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.465.3693H/abstract target=ref>Hellier et al. 2017</a>,G0,6030.00,90.00,-90.00,0,1.53,0.05,-0.05,0,1.06,0.06,-0.06,0,-0.180,0.080,-0.080,0,[Fe/H],4.09,0.03,-0.03,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h00m46.46s,210.1935714,-30d35m00.99s,-30.5836084,200.0750000,2.6590000,-2.5910000,10.0680000,0.0050000,-0.0050000,8.5730000,0.0190000,-0.0190000,9.8670800,0.0003390,-0.0003390,2016-11-30,2017-03,2016-12-01
TOI-4860 b,TOI-4860,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,1.52275910,0.00000030,-0.00000030,0,0.018080,0.000150,-0.000150,0,8.700,0.400,-0.400,0,0.770,0.030,-0.030,0,86.70000,1.90000,-1.90000,0,0.27300,0.00600,-0.00600,0,Mass,0.008000,0.013000,-0.006000,0,42.50,1.90,-1.90,0,694,15,-15,0,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,M3.5 V,3260.00,50.00,-50.00,0,0.36,0.01,-0.01,0,0.34,0.01,-0.01,0,0.270,0.120,-0.120,0,[Fe/H],4.86,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m15.35s,183.5639610,-13d10m29.43s,-13.1748411,80.1423000,0.6481000,-0.6379000,16.4700000,0.2000000,-0.2000000,11.1750000,0.0260000,-0.0260000,15.1091000,0.0012870,-0.0012870,2024-03-04,2023-08,2024-03-04
WASP-147 b,WASP-147,1,1,1,Transit,2018,SuperWASP-South,Published Confirmed,0,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,4.60273000,0.00002700,-0.00002700,0,0.054900,0.001200,-0.001300,0,12.498,1.569,-1.042,0,1.115,0.140,-0.093,0,87.40325,8.89924,-8.58141,0,0.27500,0.02800,-0.02700,0,Mass,0.000000,,,0,,,,,1404,69,-43,0,0,<a refstr=LENDL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.482..301L/abstract target=ref>Lendl et al. 2019</a>,G4,5702.00,100.00,-100.00,0,1.43,0.14,-0.08,0,1.04,0.07,-0.07,0,0.092,0.069,-0.071,0,[Fe/H],,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h56m45.96s,359.1915117,-22d09m11.63s,-22.1532316,436.0980000,9.3500000,-8.9730000,12.6810000,0.0390000,-0.0390000,10.8570000,0.0250000,-0.0250000,12.1832000,0.0002690,-0.0002690,2018-11-02,2019-01,2018-11-01
